generation,train_best,train_median,train_worst,val_best,gen_time_s,total_time_s,dm_active
83,53556.32,41344.39,-88235.88,5337.93,10.34,893.08,1
84,53556.32,41419.64,-87810.76,5337.93,10.30,903.63,1
85,53556.32,41496.64,-89538.84,5337.93,10.31,914.19,1
86,53556.32,41544.90,-85926.98,5337.93,10.34,924.78,1
87,53556.32,41535.78,-86796.70,5337.93,10.49,935.52,1
88,53556.32,41628.49,-89022.02,5337.93,10.42,946.17,1
89,53807.05,41879.67,-87718.18,5337.93,10.40,956.77,1
90,53807.05,42160.38,-84664.66,5337.93,10.33,967.31,1
91,53807.05,42538.33,-85834.13,5337.93,10.44,977.99,1
92,53867.82,42781.47,-86376.69,5337.93,10.31,988.52,1
93,54311.80,42963.72,-86368.52,5337.93,10.35,999.12,1
94,54311.80,43263.93,-87783.48,5337.93,10.33,1009.69,1
95,54311.80,43552.29,-87339.83,5337.93,10.38,1020.32,1
96,54311.80,44031.20,-87520.95,5337.93,10.40,1030.94,1
97,54311.80,44228.45,-86947.02,5337.93,10.35,1041.51,1
98,54311.80,44730.05,-87485.39,5337.93,10.36,1052.12,1
99,54813.91,45151.98,-87909.95,5337.93,10.31,1062.65,1
100,54813.91,45608.90,-88977.30,5337.93,10.40,1073.30,1
101,54813.91,47204.12,-87551.81,5337.93,10.42,1083.97,1
102,54952.56,48914.68,-88270.78,5337.93,10.39,1094.57,1
103,54952.56,49863.88,-87692.81,5337.93,10.32,1105.10,1
104,54952.56,51527.36,-87940.68,5337.93,10.29,1115.64,1
105,54952.56,52528.34,-86510.13,5337.93,10.31,1126.19,1
106,54992.48,52876.96,-88998.30,5337.93,10.34,1136.76,1
107,55044.52,53141.92,-85783.98,5337.93,10.31,1147.31,1
108,55082.73,53468.13,-87557.27,5337.93,10.44,1157.99,1
109,55256.24,53753.35,-86997.84,5337.93,10.67,1168.89,1
110,55437.12,53972.39,-87915.80,5337.93,10.33,1179.42,1
111,55860.95,54247.62,-86537.31,5337.93,10.35,1190.02,1
112,55881.04,54537.70,-87453.58,5337.93,10.42,1200.70,1
113,55881.05,54673.23,-88187.93,5337.93,10.46,1211.37,1
114,55914.46,54815.63,-84771.95,5337.93,10.38,1222.00,1
115,56020.61,54899.57,-84948.30,5329.55,10.41,1232.66,1
116,56053.96,54952.55,-87911.96,5337.93,10.27,1243.14,1
117,56074.16,54952.56,-85865.25,5337.93,10.57,1253.96,1
118,56357.65,54967.59,-87986.71,5337.93,10.24,1264.42,1
119,56550.73,54952.56,-87665.52,5337.93,10.28,1274.95,1
120,56854.42,54952.55,-86724.65,5337.93,10.33,1285.53,1
121,56854.42,54952.55,-86841.81,5337.93,10.42,1296.19,1
122,56854.42,54952.56,-87977.96,5337.93,10.29,1306.69,1
123,56924.79,54972.38,-88587.87,5337.93,10.31,1317.24,1
124,57024.00,55021.46,-87685.66,5337.93,10.33,1327.83,1
125,57176.08,55460.34,-89871.80,5337.93,10.29,1338.36,1
126,57176.08,56020.61,-86423.49,5337.93,10.43,1349.04,1
127,57176.08,56074.16,-87111.05,5337.93,10.30,1359.54,1
128,57184.02,56074.16,-88304.39,5337.93,10.25,1370.05,1
129,57184.02,56377.84,-85803.72,5337.93,10.24,1380.53,1
130,57204.15,56550.74,-87397.71,5337.93,10.48,1391.25,1
131,57479.77,56571.31,-87996.65,5337.93,10.30,1401.76,1
132,57500.34,56571.31,-88562.33,5337.93,10.21,1412.18,1
133,57537.71,56571.31,-86127.94,5337.93,10.25,1422.67,1
134,57537.71,56571.31,-86650.12,5337.93,10.28,1433.19,1
135,57558.78,56603.07,-87171.30,5337.93,10.25,1443.68,1
136,57560.77,56628.31,-88329.79,5337.93,10.24,1454.15,1
137,57734.83,56634.09,-86848.70,5337.93,10.29,1464.69,1
138,57734.83,56641.70,-85753.38,5337.93,10.25,1475.19,1
139,57751.35,56854.42,-88466.00,5227.86,10.24,1485.68,1
140,57754.66,56640.73,-86970.39,5227.86,10.31,1496.24,1
141,57758.09,57196.66,-84477.65,4663.70,10.27,1506.73,1
142,57760.49,57215.82,-87498.15,4477.95,10.23,1517.21,1
143,57760.49,57245.12,-87356.40,4477.96,10.34,1527.79,1
144,57767.32,57479.77,-85715.06,4477.96,10.28,1538.28,1
145,57767.32,57513.98,-88141.95,4477.96,10.25,1548.78,1
146,57769.28,57556.14,-86497.12,4477.96,10.24,1559.27,1
147,57779.94,57681.22,-88102.30,4477.95,10.25,1569.76,1
148,57814.93,57695.93,-86133.00,4477.95,10.27,1580.29,1
149,57814.93,57723.90,-86182.48,4477.95,10.22,1590.75,1
150,57814.93,57739.20,-86831.81,4477.95,10.34,1601.33,1
151,57814.93,57745.26,-85894.72,4477.95,10.26,1611.81,1
152,57816.39,57751.84,-87184.59,4477.95,10.20,1622.26,1
153,57821.55,57757.68,-88700.40,4477.95,10.23,1632.72,1
154,57821.55,57758.48,-86085.30,4477.95,10.31,1643.28,1
155,57821.55,57758.48,-87765.16,4477.95,10.69,1654.22,1
156,57821.55,57758.48,-88812.80,4477.95,10.46,1664.93,1
157,57829.81,57765.22,-88696.56,4477.95,10.25,1675.43,1
158,57835.36,57769.28,-88357.50,4477.95,10.35,1686.03,1
159,57835.36,57769.28,-85506.21,4477.95,10.14,1696.37,1
160,57835.36,57769.28,-87110.56,4477.95,6.37,1702.94,1
161,57835.36,57769.28,-85985.99,4477.95,6.31,1709.45,1
162,57836.29,57769.28,-87329.10,4477.95,6.37,1716.03,1
163,57836.29,57790.76,-88631.06,4477.95,6.43,1722.67,1
164,57836.29,57810.67,-88704.55,4477.95,6.51,1729.39,1
165,57836.29,57820.72,-85618.36,1451.83,6.52,1736.11,1
166,57836.87,57823.36,-85194.32,4477.95,6.57,1742.88,1
167,57848.68,57825.96,-85613.68,4477.95,6.57,1749.64,1
168,57848.68,57828.54,-87787.66,4477.95,6.68,1756.53,1
169,57848.68,57831.76,-86801.64,4477.95,6.74,1763.48,1
170,57848.68,57835.01,-89767.60,4477.95,6.62,1770.30,1
171,57848.68,57835.36,-84728.39,4477.95,6.63,1777.14,1
172,57849.05,57835.70,-88289.04,3179.15,6.64,1783.97,1
173,57849.05,57836.29,-85615.46,1452.54,6.69,1790.86,1
174,57849.05,57836.29,-89102.05,1452.54,6.90,1797.96,1
175,57849.68,57836.58,-88904.90,1452.54,6.72,1804.88,1
176,57849.96,57845.62,-88139.33,1452.54,6.71,1811.79,1
177,57850.23,57848.39,-88163.93,1452.54,6.70,1818.70,1
178,57850.23,57848.39,-88899.51,1452.54,6.85,1825.76,1
179,57850.23,57848.68,-84929.99,1452.54,6.72,1832.68,1
180,57850.52,57848.68,-88042.32,1452.54,6.73,1839.61,1
181,57850.52,57848.68,-88320.65,1452.54,6.77,1846.57,1
182,57851.81,57848.77,-88068.82,1452.54,6.73,1853.50,1
183,57851.81,57849.05,-88150.96,1452.54,6.73,1860.43,1
184,57851.81,57849.05,-86228.12,1452.54,6.79,1867.43,1
185,57852.19,57849.05,-88912.45,1452.54,6.78,1874.40,1
186,57856.79,57849.96,-86656.62,1452.54,6.88,1881.49,1
187,57856.79,57850.34,-87960.55,1452.54,6.76,1888.45,1
188,57856.79,57850.34,-87860.27,1452.54,6.76,1895.41,1
189,57858.63,57850.89,-89010.91,1452.54,6.79,1902.40,1
190,57858.63,57851.81,-86635.59,1452.54,6.76,1909.36,1
191,57858.63,57852.19,-87445.25,1452.54,7.03,1916.59,1
192,57858.63,57852.19,-87197.49,1452.54,6.80,1923.59,1
193,57858.63,57852.19,-87267.19,1452.54,6.79,1930.59,1
194,57858.63,57852.19,-86823.00,1452.54,6.79,1937.58,1
195,57858.63,57852.19,-86678.34,1452.54,6.81,1944.59,1
196,57858.63,57852.19,-84516.16,1452.54,6.95,1951.74,1
197,57858.63,57853.82,-87919.90,1452.54,6.93,1958.87,1
198,57858.63,57858.63,-87618.77,1452.54,6.80,1965.87,1
199,57858.63,57858.63,-87401.20,1452.54,6.86,1972.92,1
200,57858.63,57858.63,-87621.20,1452.54,6.87,1979.99,1
201,57858.63,57858.63,-88265.52,1463.02,6.80,1986.99,1
202,57858.63,57858.63,-86592.21,1452.54,6.84,1994.04,1
203,57858.63,57858.63,-87515.29,1452.54,7.02,2001.25,1
204,57858.63,57858.63,-87922.98,1452.54,6.84,2008.29,1
205,57858.63,57858.63,-88901.02,1463.02,6.83,2015.32,1
206,57858.63,57858.63,-87345.95,1452.54,6.87,2022.39,1
207,57858.63,57858.63,-85368.13,1463.02,6.85,2029.45,1
208,57858.63,57858.63,-86400.55,1463.02,6.97,2036.62,1
209,57858.63,57858.63,-87112.50,1452.54,6.86,2043.68,1
210,57858.63,57858.63,-84471.72,1463.02,6.84,2050.73,1
211,57858.63,57858.63,-87147.41,1452.54,6.99,2057.92,1
212,57858.63,57858.63,-88809.43,1452.54,6.84,2064.97,1
213,57858.63,57858.63,-84341.10,1463.02,7.00,2072.16,1
214,57858.63,57858.63,-85615.80,1463.02,6.86,2079.23,1
215,57911.20,57858.63,-87134.66,1452.54,6.90,2086.32,1
216,57911.20,57858.63,-88636.27,1463.02,6.86,2093.39,1
217,57911.20,57858.63,-86200.62,1463.02,6.89,2100.48,1
218,57911.20,57858.63,-87746.42,1463.02,6.86,2107.54,1
219,57911.20,57858.63,-88394.22,1452.54,7.04,2114.77,1
220,57911.20,57858.63,-85524.28,1463.02,6.83,2121.80,1
221,57911.20,57858.63,-85255.55,1452.54,6.85,2128.85,1
222,57911.20,57858.63,-87474.98,1452.54,6.85,2135.89,1
